Data ,FasedaLua,LuaEmoji,Signo ,SignoEmoji,tarefas,Check [x],Open [],All,Progresso,EnergiaInput,EnergiaFase,IntençõesLua,IntençõesEstação,IntençõesAno
21/07/2026,Crescente,🌓,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
29/07/2026,Cheia,🌕,Aquário,🧊,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
05/08/2026,Minguante,🌗,Touro,🐂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
12/08/2026,Nova (Eclipse Solar),🌙,Leão,🦁,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
19/08/2026,Crescente,🌓,Escorpião,🦂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
28/08/2026,Cheia (Eclipse Lunar),🌙,Peixes,🐟,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
04/09/2026,Minguante,🌗,Gêmeos,👯,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
11/09/2026,Nova,🌑,Virgem,🌾,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
18/09/2026,Crescente,🌓,Sagitário,🏹,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
26/09/2026,Cheia,🌕,Áries,🐏,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
03/10/2026,Minguante,🌗,Câncer,🦀,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
10/10/2026,Nova,🌑,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
18/10/2026,Crescente,🌓,Capricórnio,🐐,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
26/10/2026,Cheia,🌕,Touro,🐂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
01/11/2026,Minguante,🌗,Leão,🦁,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
09/11/2026,Nova,🌑,Escorpião,🦂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
17/11/2026,Crescente,🌓,Aquário,🧊,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
24/11/2026,Cheia,🌕,Gêmeos,👯,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
01/12/2026,Minguante,🌗,Virgem,🌾,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
08/12/2026,Nova,🌑,Sagitário,🏹,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
17/12/2026,Crescente,🌓,Peixes,🐟,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
23/12/2026,Cheia,🌕,Câncer,🦀,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
30/12/2026,Minguante,🌗,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
,,,,,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
,,,,,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
,,,,,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
,,,,,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
